Size,Uchan,Tchan,Mchan
0,2.35720974283904E-06,2.23369781329898E-08,3.12905710214086E-08
1000,6.45111041184952E-05,0.0001217705,6.44618327391124E-05
2000,0.0001365869,0.0002562997,0.0001636933
3000,0.000255142,0.0004350227,0.0002788521
4000,0.0004107735,0.0005444679,0.0005330204
5000,0.0005511437,0.0007274249,0.0007909117
6000,0.0006764998,0.0010488482,0.0010469732
7000,0.0008418356,0.0013275518,0.0012362544
8000,0.0009372082,0.0016239766,0.0014205336
9000,0.0010254265,0.001806939,0.001622936
10000,0.0011127904,0.0019944662,0.001854961
11000,0.0013024433,0.002388646,0.0021091383
12000,0.0014027288,0.0025904914,0.0023344974
13000,0.0015180456,0.0028606762,0.0026123324
14000,0.0016539514,0.0031105944,0.0027646715
15000,0.001786185,0.0032236861,0.0030562691
16000,0.0018890479,0.0033863651,0.0032918945
17000,0.0019279671,0.0034751838,0.0034806145
18000,0.0020639128,0.0037042842,0.0037141475
19000,0.002216462,0.0041520795,0.0040439491
20000,0.0023721254,0.0042867448,0.0042556589
