Size,Uchan,Tchan,Mchan
5000,0.0004319362,0.0007724926,0.0006412971
5500,0.0005081518,0.000937935,0.0007614882
6000,0.0005976523,0.0010223686,0.0008542465
6500,0.0006831501,0.0012767571,0.0009975347
7000,0.0007294435,0.0013985071,0.0010749802
7500,0.0008384206,0.0015610968,0.0011579429
8000,0.0008164941,0.0016674355,0.0012298762
8500,0.0009213161,0.001774757,0.0013154211
9000,0.0009678215,0.0018546731,0.0013929906
9500,0.001000054,0.00197242,0.0014865095
10000,0.0010317096,0.0020817934,0.0016041918
10500,0.0010939731,0.0022003222,0.0016524106
11000,0.0011412222,0.0023806722,0.0017508726
11500,0.0012227597,0.0026051395,0.0018245293
12000,0.0013142279,0.0027900071,0.0019100648
12500,0.0013518864,0.0028012245,0.0020491022
13000,0.0013855276,0.0028921636,0.0021770489
13500,0.0014819462,0.0029807871,0.0022199649
14000,0.0014989115,0.0031141981,0.0023433766
14500,0.0015725473,0.0031330042,0.0024313564
15000,0.0016292981,0.0032093659,0.0025060647
15500,0.0016870676,0.0033396191,0.0025946455
16000,0.0017176131,0.0035005571,0.0027510958
16500,0.001781486,0.0035685108,0.002787527
17000,0.001824624,0.0038079269,0.0028792603
17500,0.0018671764,0.0039147185,0.0029759322
18000,0.0019402402,0.0042633698,0.00306548
18500,0.0019682172,0.0041884976,0.0031468707
19000,0.0020548941,0.0043130021,0.003360511
19500,0.0021345144,0.0044108129,0.0033855836
20000,0.0021554918,0.0046879144,0.0034505707
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
